시장,종목,위험 구분,초보자 해석,핵심 사유,권장 행동,종목코드,종목명,분류,핵심요약,다음행동
미국주식,Alphabet (GOOGL),주의,매수 전 가격·수급·뉴스를 한 번 더 확인해야 합니다.,백테스트 참고,소액 또는 관망,GOOGL,Alphabet (GOOGL),risk,신규매수보다 제외·관망이 우선인 후보,매수 보류 또는 비중 축소 검토
미국주식,Amazon (AMZN),주의,매수 전 가격·수급·뉴스를 한 번 더 확인해야 합니다.,백테스트 참고,소액 또는 관망,AMZN,Amazon (AMZN),risk,신규매수보다 제외·관망이 우선인 후보,매수 보류 또는 비중 축소 검토
미국주식,Caterpillar (CAT),주의,매수 전 가격·수급·뉴스를 한 번 더 확인해야 합니다.,백테스트 참고,소액 또는 관망,CAT,Caterpillar (CAT),risk,신규매수보다 제외·관망이 우선인 후보,매수 보류 또는 비중 축소 검토
미국주식,Circle (CRCL),주의,매수 전 가격·수급·뉴스를 한 번 더 확인해야 합니다.,백테스트 참고,소액 또는 관망,CRCL,Circle (CRCL),risk,신규매수보다 제외·관망이 우선인 후보,매수 보류 또는 비중 축소 검토
미국주식,Cloudflare (NET),주의,매수 전 가격·수급·뉴스를 한 번 더 확인해야 합니다.,백테스트 참고,소액 또는 관망,NET,Cloudflare (NET),risk,신규매수보다 제외·관망이 우선인 후보,매수 보류 또는 비중 축소 검토
미국주식,Costco (COST),주의,매수 전 가격·수급·뉴스를 한 번 더 확인해야 합니다.,백테스트 참고,소액 또는 관망,COST,Costco (COST),risk,신규매수보다 제외·관망이 우선인 후보,매수 보류 또는 비중 축소 검토
미국주식,Energy ETF (XLE),주의,매수 전 가격·수급·뉴스를 한 번 더 확인해야 합니다.,백테스트 참고,소액 또는 관망,XLE,Energy ETF (XLE),risk,신규매수보다 제외·관망이 우선인 후보,매수 보류 또는 비중 축소 검토
미국주식,Intel (INTC),주의,매수 전 가격·수급·뉴스를 한 번 더 확인해야 합니다.,백테스트 참고,소액 또는 관망,INTC,Intel (INTC),risk,신규매수보다 제외·관망이 우선인 후보,매수 보류 또는 비중 축소 검토
미국주식,Lumentum (LITE),주의,매수 전 가격·수급·뉴스를 한 번 더 확인해야 합니다.,백테스트 참고,소액 또는 관망,LITE,Lumentum (LITE),risk,신규매수보다 제외·관망이 우선인 후보,매수 보류 또는 비중 축소 검토
미국주식,NVIDIA (NVDA),주의,매수 전 가격·수급·뉴스를 한 번 더 확인해야 합니다.,백테스트 참고,소액 또는 관망,NVDA,NVIDIA (NVDA),risk,신규매수보다 제외·관망이 우선인 후보,매수 보류 또는 비중 축소 검토
미국주식,Nebius (NBIS),주의,매수 전 가격·수급·뉴스를 한 번 더 확인해야 합니다.,백테스트 참고,소액 또는 관망,NBIS,Nebius (NBIS),risk,신규매수보다 제외·관망이 우선인 후보,매수 보류 또는 비중 축소 검토
미국주식,Palantir (PLTR),주의,매수 전 가격·수급·뉴스를 한 번 더 확인해야 합니다.,백테스트 참고,소액 또는 관망,PLTR,Palantir (PLTR),risk,신규매수보다 제외·관망이 우선인 후보,매수 보류 또는 비중 축소 검토
미국주식,Riot Platforms (RIOT),주의,매수 전 가격·수급·뉴스를 한 번 더 확인해야 합니다.,백테스트 참고,소액 또는 관망,RIOT,Riot Platforms (RIOT),risk,신규매수보다 제외·관망이 우선인 후보,매수 보류 또는 비중 축소 검토
미국주식,Russell 2000 ETF (IWM),주의,매수 전 가격·수급·뉴스를 한 번 더 확인해야 합니다.,백테스트 참고,소액 또는 관망,IWM,Russell 2000 ETF (IWM),risk,신규매수보다 제외·관망이 우선인 후보,매수 보류 또는 비중 축소 검토
미국주식,SanDisk (SNDK),주의,매수 전 가격·수급·뉴스를 한 번 더 확인해야 합니다.,백테스트 참고,소액 또는 관망,SNDK,SanDisk (SNDK),risk,신규매수보다 제외·관망이 우선인 후보,매수 보류 또는 비중 축소 검토
미국주식,Super Micro Computer (SMCI),주의,매수 전 가격·수급·뉴스를 한 번 더 확인해야 합니다.,백테스트 참고,소액 또는 관망,SMCI,Super Micro Computer (SMCI),risk,신규매수보다 제외·관망이 우선인 후보,매수 보류 또는 비중 축소 검토
미국주식,TSMC (TSM),주의,매수 전 가격·수급·뉴스를 한 번 더 확인해야 합니다.,백테스트 참고,소액 또는 관망,TSM,TSMC (TSM),risk,신규매수보다 제외·관망이 우선인 후보,매수 보류 또는 비중 축소 검토
미국주식,Tesla (TSLA),주의,매수 전 가격·수급·뉴스를 한 번 더 확인해야 합니다.,백테스트 참고,소액 또는 관망,TSLA,Tesla (TSLA),risk,신규매수보다 제외·관망이 우선인 후보,매수 보류 또는 비중 축소 검토
